country,fossil_share_elec,renewables_share_elec,low_carbon_share_elec,oil_share_elec,solar_share_elec,electricity_demand_per_capita,per_capita_electricity,fossil_elec_per_capita,renewables_elec_per_capita,low_carbon_elec_per_capita,electricity_generation,net_elec_imports_share_demand,carbon_intensity_elec,greenhouse_gas_emissions,Cluster,PCA1,PCA2,PCA3,Period
Cote d'Ivoire,0.03986296052337358,0.07289579850368982,-0.039862924274292756,-0.8842815105526638,-0.32272752834912005,-0.7009649266815573,-0.6821153855125438,-0.6783753636843605,-0.25780516894150274,-0.30927818732466356,-0.2065074957399081,-0.2646997390181016,-0.373006411190402,-0.18107479999966325,2,-0.14993024402178273,-1.2705647445169206,0.10842933315192972,2007-2011
Croatia,-0.47227091126506504,0.6018852803109023,0.4722709426239432,-0.595466139558283,-0.32272752834912005,0.05899690704751383,-0.17553221862959784,-0.29699316833813383,0.0847459829110625,0.015181863942013613,-0.1917473863217559,0.6674134995116112,-0.5235857329485158,-0.17347146380427433,1,-1.005827748754655,-0.6515600268218014,0.020709633865019193,2007-2011
Cuba,0.9128648153907644,-0.8288387366684118,-0.9128647708056681,1.2176133174063541,-0.32272752834912005,-0.4512981108096031,-0.43937171722259905,-0.2832499207580919,-0.26723220405033227,-0.31820735389777755,-0.18195734764553517,-0.021621147758988633,0.6806321332609038,-0.1495171634606873,0,1.864699279512998,-0.07493301340656269,-0.5770452181058442,2007-2011
Cyprus,0.9822129199092116,-0.9004692612135251,-0.9822128746619322,1.6149092202173616,-0.29166431504228474,0.12445736942984668,0.13228655623812308,0.6210463086950238,-0.2680042820479137,-0.3189386562604243,-0.20812943996693103,-0.021621147758988633,0.6955391299751037,-0.17748337827908517,0,1.9803460119079093,0.8754353367378249,-0.6983934349095258,2007-2011
Czechia,-0.11692379888751248,-0.7547668929288871,0.11692383363948669,-0.807282042288015,-0.05531377901201602,0.5385995087876274,0.8101492870918096,0.7805111740984711,-0.1633607621888628,0.38683468167719764,-0.041702951993613215,-0.4968205971430565,0.5360022044706382,-0.009734342635577185,2,-0.1667702366598314,1.2020700399130422,0.22596157991694582,2007-2011
Democratic Republic of Congo,-1.9324367628801338,2.110108851817854,1.9324367802963547,-0.8940837538550237,-0.32272752834912005,-0.7289966348445853,-0.7129365219442645,-0.735062542579119,-0.25128092365374,-0.3030985059862836,-0.20254227990469262,-0.26011807670182435,-1.810365861960701,-0.18806463037330273,1,-3.091953928959114,-2.814035922303872,0.3656450659821308,2007-2011
Denmark,0.09596097535846124,0.014951457321185191,-0.09596093857371846,-0.7874691054885872,-0.31843746819932695,0.5413679428169518,0.5393549186157324,0.6609932579915201,0.22507267803838057,0.14809750719370934,-0.14127948677449198,-0.008736930370570693,0.31312003191784166,-0.11749078090059946,2,-0.31195710961990286,0.9057749486363657,0.05064089730660834,2007-2011
Djibouti,1.0164065072046917,-0.9357882452155006,-1.0164064616309085,1.6440363218144678,-0.32272752834912005,-0.6745009214327262,-0.6609861659453964,-0.6171917224614152,-0.28052105020964396,-0.33079437829634384,-0.21797785195723485,-0.021621147758988633,0.7176084948489139,-0.1880853103448224,0,2.1564580627337953,-0.3475485376169623,-0.7799420625891598,2007-2011
Dominica,0.4888500085055319,-0.3908685391700085,-0.4888499679692173,1.194648206930856,-0.32272752834912005,-0.3776645295583935,-0.36626212926124757,-0.2560678304736007,-0.19502713258167015,-0.24981563761325737,-0.21844066894746503,-0.021621147758988633,0.24383669792874957,-0.18864366957585277,0,1.1111093079837946,-0.304263749335954,-0.5889094703144243,2007-2011
Dominican Republic,0.6783859760662347,-0.586642610729921,-0.6783859337201017,0.5356913840994848,-0.32272752834912005,-0.45900543573295643,-0.4470241950710993,-0.33075117139306276,-0.23829348976677692,-0.29079697542071037,-0.1880865456242594,-0.021621147758988633,0.4562276849181802,-0.15889897720676557,0,1.2953307154777811,-0.2949400636051597,-0.3618412524362853,2007-2011
Ecuador,-0.5418338821027018,0.6737377429645985,0.5418339127973453,0.051334478015856486,-0.32272752834912005,-0.49542422455836227,-0.4947659481583592,-0.5534775695633876,-0.11792155132460169,-0.1767822213998942,-0.17963075412708068,0.08227692621838092,-0.571125961702594,-0.1670468859855051,1,-0.7782280020746226,-1.3161466821017422,-0.10543225914429707,2007-2011
Egypt,0.6839904058917639,-0.5924314963954568,-0.6839903634921158,-0.5527185971898996,-0.30834788229148014,-0.45054421935359495,-0.43624208079161597,-0.3145269970960073,-0.23762808946662722,-0.29016671680288986,0.06352328568602157,-0.03962443914690525,0.38835033615469194,0.07987197395903799,2,0.9870601556153391,-0.2715420220583648,0.2845783797302263,2007-2011
El Salvador,-0.7921531439585989,0.9322956394636137,0.792153172263024,0.10345211084391286,-0.32272752834912005,-0.5620731894839489,-0.5515325916752878,-0.6208829538502261,-0.1361461398237452,-0.1940443175474828,-0.2063824100668729,0.00483499179891869,-0.783488683624307,-0.18308075723706868,1,-1.13572886520716,-1.6098569787047576,-0.1147475719925978,2007-2011
Equatorial Guinea,0.5445660387731716,-0.4484183237150326,-0.5445659977048424,-0.7703507687670902,-0.32272752834912005,-0.7112308509837412,-0.6974547169746195,-0.6845526181885355,-0.2725671669693909,-0.3232605622518063,-0.2182738880500848,-0.021621147758988633,1.0936832965636465,-0.188340363326898,2,1.0977720197282304,-0.7033188077529394,0.01371883145523447,2007-2011
Eritrea,1.0164065072046917,-0.9357882452155006,-1.0164064616309085,1.6440363218144678,-0.32272752834912005,-0.7313837667171756,-0.7174642199820129,-0.7064400302478994,-0.28052105020964396,-0.33079437829634384,-0.21809876810783552,-0.021621147758988633,0.6930566494561455,-0.18822317682162004,0,2.1548240923550446,-0.44094404427078454,-0.7844970098304589,2007-2011
Estonia,0.8586051012865212,-0.7727931993037827,-0.8586050572195333,1.447244085556973,-0.32272752834912005,0.6050981387077428,0.8967670709762757,1.7043467549968156,-0.16604490438202868,-0.22236404331377152,-0.19478696817651095,-0.5008967281302017,0.5773919544893923,-0.16429644977339253,0,1.5372380493832556,1.8557767901859732,-0.6077945197523116,2007-2011
Eswatini,-1.8789350494019204,2.0548462627807256,1.8789350673290124,-0.8601775502329081,-0.32272752834912005,-0.4771708263940579,-0.6186699026764717,-0.7300154293985698,-0.13366138741048283,-0.19169079197609862,-0.21731072836771387,1.2700979305629096,-1.221248361552309,-0.1884782298036956,1,-2.713590467736538,-2.4550299893245144,0.3510021836445509,2007-2011
Ethiopia,-1.9385425474504383,2.1164155930700828,1.9385425648083572,-0.8730760415493435,-0.32272752834912005,-0.7405519474079802,-0.7264307930265593,-0.7353480608020011,-0.26847529078825094,-0.31938478968957884,-0.20965965470039483,-0.046629008373977286,-1.8037833314759808,-0.1884092965652968,1,-3.0466259943936596,-2.8437463323952676,0.37009222349219,2007-2011
Falkland Islands,0.7179810638857871,-0.6275408721837709,-0.7179810211615731,1.3898287672926828,-0.32272752834912005,0.08178756394837332,0.08992039878479001,0.3818111773268038,-0.1271976597875471,-0.18556843219254657,-0.21869084029353542,-0.021621147758988633,1.2950121436218178,-0.18885736261488908,0,1.724563168913318,0.7724297908105301,-0.6700485446425151,2007-2011
Faroe Islands,-0.08255115632604108,0.19933887092130545,0.08255119140622864,0.7079119181369038,-0.32272752834912005,0.32336517952593347,0.32977889317618,0.32932438999488306,0.2254734666866555,0.14847712905357785,-0.21815297189948413,-0.021621147758988633,-0.2742022329038083,-0.18850580309905512,2,-0.33456519021554854,0.3839469619198402,-0.4943090772182627,2007-2011
Fiji,-0.8276657717135485,0.9689770768543895,0.8276657996788748,0.0732014118558204,-0.32272752834912005,-0.5678190132644879,-0.5550634304681983,-0.6263873038992549,-0.13620763753172724,-0.19410256738659945,-0.21693130182617376,-0.021621147758988633,-0.8160645779553868,-0.18807152369714264,1,-1.2017434697078493,-1.6468971179098153,-0.11198846325944536,2007-2011
Finland,-0.8330851777642199,0.04358147332837231,0.8330852056777978,-0.6564200269815166,-0.32161529053250704,2.446741545731523,1.999013533026293,0.9122650629839033,0.8409205262018842,1.7391590014007394,-0.058310159850251696,0.29405811843429563,-0.793332195350261,-0.11368566614098505,1,-2.692440500185903,2.774304548554281,-0.2562778520806929,2007-2011
France,-1.668061662643916,-0.5513544514652485,1.6680616825845704,-0.8501312676782072,-0.27792023345128086,0.832070521253768,0.9681114292528996,-0.46488082131660524,-0.006230394130811245,1.5441461519694173,0.9435218431007426,-0.2150301473468093,-1.6246142975083155,-0.04103692619247753,1,-2.9934073767166005,0.41615319546309826,0.6986373990145,2007-2011
French Guiana,-0.7453898769905266,0.8839932761095415,0.745389905741479,0.14328643463747653,0.046773763441394146,-0.061374543404648665,-0.052222934493411546,-0.2916441685023532,0.23962715192817807,0.1618833179227175,-0.21703970940947093,-0.021621147758988633,-0.7984021409254141,-0.18810599031634204,1,-1.4443014519893478,-0.7422599082745074,-0.26723188818762295,2007-2011
French Polynesia,-0.04782040323258703,0.1634650416478727,0.04782043864440737,0.7374965933321491,-0.21539657904596274,-0.31269122290807566,-0.30175118741956913,-0.291798199647793,-0.08251014202324147,-0.14324098933803336,-0.21737327120423142,-0.021621147758988633,-0.18362318932300187,-0.18791987057266524,0,0.08034662951068382,-0.6146543579643162,-0.4209427428599097,2007-2011
Gabon,-0.3913021199837798,0.5182516030599332,0.39130215211580305,-0.4270739712919621,-0.32272752834912005,-0.5348513567075379,-0.522330379243824,-0.5571333659942559,-0.15053297733186416,-0.20767134524890687,-0.2148298625191826,-0.021621147758988633,-0.20299364401647405,-0.18612071305045627,1,-0.5624886294259315,-1.2259830175694766,-0.005089062281540362,2007-2011
Gambia,1.0164065072046917,-0.9357882452155006,-1.0164064616309085,1.6440363218144678,-0.32272752834912005,-0.7252866772095672,-0.7114105187482784,-0.6968737907559106,-0.28052105020964396,-0.33079437829634384,-0.2182155147360017,-0.021621147758988633,0.7018559688232795,-0.1883472566507379,0,2.1573538455405754,-0.4297772290911899,-0.7841567542773916,2007-2011
Georgia,-1.5097230909277717,1.6734826128658689,1.5097231123803503,-0.889360577492009,-0.32272752834912005,-0.32738966058585983,-0.29147860089858046,-0.628001303278038,0.20552880444601002,0.129585801150872,-0.19988212459147764,-0.1551269620128181,-1.464441811766888,-0.185265940894311,1,-2.848123111579888,-1.7665114457970628,0.15117601492695262,2007-2011
Germany,-0.12929651776751427,-0.42476342030857756,0.1292965524013453,-0.793615844156924,0.2789931304385288,0.6666093838034929,0.7021710250440218,0.66485488895812,0.026739580664741625,0.3442782310886593,1.065726376133687,-0.0725841709390511,0.2007873846482977,0.93474063663806,2,-0.439704969380598,1.28530995157342,1.5260727195551287,2007-2011
Ghana,-1.0042560435430772,1.1513793773721854,1.0042560698221994,-0.2735885340227987,-0.32272752834912005,-0.6835290467612909,-0.6667491908698133,-0.7007028647306952,-0.2197120185527066,-0.2731968445493876,-0.19968615703705583,-0.12612039412775838,-0.991134369530654,-0.1816055859353341,1,-1.5055057035205541,-1.9864372136472064,0.05557026057844779,2007-2011
Gibraltar,1.0164065072046917,-0.9357882452155006,-1.0164064616309085,1.6440363218144678,-0.32272752834912005,0.3025176044815038,0.30907967421123833,0.9157352905571863,-0.28052105020964396,-0.33079437829634384,-0.21836561754364392,-0.021621147758988633,0.7259507276923879,-0.18850580309905515,0,2.026766881039224,1.176636012366022,-0.7068120331294357,2007-2011
Greece,0.6423540880399102,-0.5494248229100698,-0.6423540460378341,-0.5967829346907058,-0.20943816217125008,0.3677509975698586,0.29394249956629415,0.689991224987101,-0.1155743969703142,-0.17455902694264508,-0.09364269296025783,0.14214823119828274,1.0651032752344554,-0.03505352109946068,2,0.9992606947585603,1.004337101926005,0.13851034337677492,2007-2011
Greenland,-0.8894159644450964,1.032759623282115,0.8894159918207898,0.020600784674172666,-0.32272752834912005,0.6032353450685207,0.6076574390489939,0.01774492471956062,0.8389985145682758,0.7296001742177605,-0.21788612246367572,-0.021621147758988633,-0.9109261830820735,-0.18854716304209443,1,-2.2588827164046967,0.27038699685201667,-0.4226212573150562,2007-2011
